,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,292,110,152.1590909090909,86.84075342465754,253.57500000000002,727,5737.500000000376,100.0
2,72,265,123,277.96058633903067,96.14936350304293,254.79581328306378,735,19484.486699918278,199.50124688279303
3,120,252,106,333.3118207885279,102.66376252638756,258.71268156649666,731,19937.072760148578,100.08950322590944
4,168,236,104,376.0821186580627,112.5401694642426,265.5947999356125,818,22771.969228215705,99.79245464709383
5,216,259,107,403.73610361786166,106.53772558809284,275.93270927316047,741,25833.754186102025,100.22618487318748
6,264,275,113,409.22897461552134,104.01807984199661,286.04971956549065,729,27861.980790072634,99.92755159347088
7,312,284,117,426.8599584037474,105.7556467189745,300.3460366818876,713,30435.927578924544,100.06688182508789
8,360,287,122,422.41560174846546,110.44715633687129,316.9833386868206,719,30695.846448599386,99.8080781666932
9,408,304,122,439.3966526326037,110.59245214504472,336.20105452093594,701,31824.90503217588,100.20282143037531
10,456,325,118,466.3576104055211,109.79795026061758,356.84333834700715,668,32403.19327997885,100.00948751550462
11,504,345,123,466.5642837311916,110.96404409252433,382.825952119209,625,33637.55437059551,100.00778604003091
12,552,365,126,464.06619717520977,111.88623864237067,408.38477104465295,592,34111.100763951596,99.87568263585817
13,600,390,131,455.67081202689496,112.59168735776788,439.10758069529476,569,34625.26197802937,100.10647529385423
14,648,425,134,454.1328165141996,111.20225186080836,472.60957040843556,548,35069.6275885313,100.00449350735468
15,696,450,131,464.48656785657437,113.9861350458878,512.9376077064951,547,34423.777917452615,99.93425455848212
16,744,482,126,487.6741701249543,114.50156023242045,551.8975203202666,506,34593.436863052666,99.84790543719089
17,792,520,134,472.1296499246549,112.43642791500477,584.6694251580249,537,35199.18304550571,100.13515690710581
18,840,549,132,482.7452361577051,110.55643136952635,606.9548082186997,483,35030.69432627149,99.9072824300972
19,888,582,126,505.3475435710658,105.12748343855542,611.8419536123926,455,34654.319992582634,100.0383910733712
20,936,593,139,473.7113183029638,104.43169145048357,619.2799303013676,459,35112.947051849675,100.24908932795445
21,984,607,130,506.96932494322806,100.76151850392496,611.6224173188245,440,35036.89753588807,99.96136161021533
22,1032,604,130,510.420885586028,96.42610865049917,582.413696249015,462,35073.16333168394,99.79973889925876
23,1080,606,134,503.48488250327426,90.98838436815808,551.389609271038,463,35370.124888169084,100.17943947630854
24,1128,594,130,526.1640264481529,87.10952135576413,517.430556853239,482,35771.510134446144,99.94928403613743
25,1176,593,132,522.7534409364746,81.38863161011764,482.6345854479976,437,35552.034041467006,99.80057292270551
26,1224,579,129,534.9842613412794,80.42057418417204,465.6351245263561,436,35341.86609154756,100.0342277784627
27,1272,563,130,542.864502220905,80.90060871410368,455.4704270604038,425,36283.86082781597,100.27214438567913
28,1320,535,131,546.7328822723837,81.63725375205372,436.7593075734874,500,36606.73869563617,100.01525772012229
29,1368,522,134,533.6286437850149,80.76161140536476,421.5756115360041,462,35879.06825815028,99.86196983352485
30,1416,506,140,516.0575415614082,82.63299561129968,418.1229577931764,490,35603.80319737719,100.02911646195703
31,1464,499,133,542.4181977815373,84.19384971649353,420.1273100853027,511,35262.33098665526,100.09473474591427
32,1512,488,133,546.8774040911251,85.83839563037763,418.8913706762429,518,35028.445980899516,99.94807883652413
33,1560,488,135,547.5825927167954,86.3759895135766,421.5148288262538,514,35392.51599716733,99.70944456237662
34,1608,484,137,549.273183915579,88.38248890407515,427.7712462957237,503,35689.06485008081,100.05011165170717
35,1656,486,142,528.7031269249692,89.50673229038267,435.00271893125984,496,34493.81355820186,100.15222079891906
36,1704,492,141,534.57407716761,89.31575496891163,439.43351444704524,531,34061.70383937264,99.7975141148023
37,1752,485,136,547.485297707898,90.98017248496807,441.2538365520951,526,32510.34588938744,100.10665631735495
38,1800,482,131,574.635527321993,94.26145130492286,454.3401952897282,483,32800.4137684902,100.23163902022715
39,1848,484,136,556.4897156529747,95.61433945126208,462.77340294410845,523,32390.929286550567,99.7972779177911
40,1896,492,134,565.3558830297867,96.42625046898668,474.4171523074144,509,31941.101466945354,99.98541104627402
41,1944,509,139,554.6497183514028,96.13548073844885,489.32959695870466,497,32472.862105168133,100.2252527533657
42,1992,522,132,581.1364095523332,95.47618170429998,498.3856684964459,474,31332.952012487116,99.73285640728655
43,2040,517,139,556.3809447820657,95.61716230799648,494.34072913234183,520,30638.433143214996,100.0590973754637
44,2088,530,137,568.6572450614044,93.82529702488159,497.2740742318725,491,30681.086903875243,99.87220930929391
45,2136,533,128,603.8017885524524,94.96431347221646,506.15979080691375,471,30035.301249114484,100.16441741655655
46,2184,541,136,581.0815245394779,93.05262662667771,503.4147100503264,484,30564.88288126252,99.98773258930966
47,2232,542,145,551.5276242203312,90.81486821900472,492.2165857470056,427,29984.30105584423,99.97389185009129
48,2280,537,132,595.8042877695425,89.99975594276339,483.29868941263936,479,28506.208408935367,100.12426470702177
49,2328,537,140,575.3901074491612,88.28020399462207,474.0646954511205,460,29303.62851874004,99.7779961058291
50,2376,532,134,597.1556154960175,87.342630540942,464.6627944778114,473,28232.99249915568,100.2804250425862
51,2424,530,140,583.0075957878041,88.28034834382369,467.88584622226557,482,28712.913350769606,99.9905734156609
52,2472,519,139,581.3933890802563,89.09270324139254,462.3911298228273,462,26966.222419378366,99.72202494797362
53,2520,522,137,593.7287706969582,90.74444279832404,473.6859914072515,496,26557.79130313543,100.24802649563928
54,2568,521,146,554.6510541708242,91.34884766615993,475.92749634069327,459,25191.836959934044,99.72673745504257
55,2616,531,138,587.9637082275192,89.44463039971735,474.95098742249917,478,24909.029518886382,100.06283138730952
56,2664,541,139,584.3059245596577,86.69609644771951,469.02588178216257,486,24267.694738539914,100.17612540135704
57,2712,537,140,579.2731338995367,88.47611040680411,475.11671288453806,469,23322.602143586635,100.05377491055474
58,2760,534,149,543.8663504135997,87.60953996099359,467.83494339170574,457,22149.78819413745,99.73247007986676
59,2808,535,142,559.2077297808314,85.28646066806986,456.28256457417376,462,20289.026057423394,100.30654580686665
60,2856,541,149,538.2872281546801,82.97948871508541,448.9190339486121,492,19867.784398706757,99.80502369700694
61,2904,528,141,556.0206511170298,84.66591243320266,447.0360176473101,482,17829.300404770456,100.22367200576001
62,2952,526,139,563.305666551325,84.14800030265373,442.61848159195864,488,16994.858728476855,99.84955800785728
63,3000,508,136,576.3199528058394,88.19339641186947,448.02245377229696,535,16542.631455771912,99.81235866139282
64,3048,502,135,584.5893911480638,89.53183807303647,449.4498271266431,507,16456.731748381302,100.02728611808521
65,3096,498,132,600.1593810523348,90.4786914064564,450.58388320415287,523,16129.271442568855,100.01302565536788
66,3144,507,138,584.9412676712387,89.47090900377756,453.6175086491522,510,16302.920628883801,100.03602342877836
67,3192,509,143,565.341007723238,89.06605473250927,453.3462185884722,463,15300.514174076137,100.07764265532332
68,3240,514,136,593.5322085422926,89.95940091692766,462.39132071300816,500,14319.619273303879,100.03451729691166
69,3288,506,134,606.596238726188,91.42387113517297,462.6047879439752,499,13734.47213577343,99.8097656087491
70,3336,507,133,616.0838660260597,91.29717545659811,462.87667956495244,489,13556.406536394006,100.02412424713641
71,3384,502,139,598.6178445697541,92.81995035971532,465.9561508057709,483,13393.950759920754,100.04697181737504
72,3432,519,140,593.6517260491883,90.56931558774534,470.0547479003983,504,12570.590454701623,100.23516306450088
73,3480,519,138,604.0866601533965,89.58365803710717,464.93918521258627,476,11880.402957502916,99.82315165015117
74,3528,513,139,594.4819089108847,91.13440988043276,467.51952268662006,512,10325.82491739085,100.0982815167247
75,3576,506,140,592.7301156232568,93.46270883071979,472.9213066834422,526,10158.271960679858,99.76712833302494
76,3624,504,143,579.0512554212345,92.95462829822642,468.4913266230612,475,9263.834554790761,100.21575197560074
77,3672,505,132,627.2052234183675,93.1779594973287,470.5486954615099,497,8695.66186019754,99.92657193090744
78,3720,521,135,622.3073069144323,91.74444310404257,477.98854857206186,474,8786.904820787602,100.07457433277168
79,3768,525,137,616.4608253685321,90.52508707335241,475.25670713510016,475,8199.446079260651,100.11249686005856
80,3816,522,133,633.6965279779923,90.020289927891,469.9059134235911,513,7697.0095518973085,99.9495939387088
81,3864,519,137,619.9285636958981,90.80882904787559,471.2978227584743,486,7527.265295452777,99.8672111044336
82,3912,514,135,625.1791701750318,90.32003553051646,464.2449826268546,508,6465.671732389522,99.97412516087633
83,3960,514,136,626.2764301791522,90.20305427792717,463.6436989885457,498,6725.469054951856,100.19176803789571
84,4008,513,136,624.5403283436392,92.00795172140495,472.00079233080737,495,5969.312768930567,99.7261786613359
85,4056,515,141,611.7404959036771,91.31828148225574,470.28914963361706,488,6271.406862259981,100.13305503543708
86,4104,521,148,577.2362145039349,89.12431082745233,464.3376594110267,472,4534.577751684086,100.12106525997807
87,4152,522,142,594.58973877731,88.29741287368984,460.91249520066094,483,2784.438806183747,99.74052497027773
88,4200,516,143,590.4618390443487,88.78728499470085,458.14239057265644,485,1964.5388528531678,100.22462721394929
89,4248,518,148,574.5389670964654,90.79513325419488,470.31879025672947,507,1544.078927239917,99.9878728679887
90,4296,523,138,602.5732164785069,90.68010254761774,474.25693632404074,467,-675.3736714835632,99.79103578273535
91,4344,529,136,604.7132466954525,90.74658230565623,480.0494203969215,476,-1902.4267689015035,100.05024188731997
92,4392,530,137,605.9071357685874,89.38216744192366,473.7254874421954,495,-1960.1007024529686,100.08144166505991
93,4440,534,144,581.6527934308332,88.14842524413555,470.71259080368384,468,-2327.2360574041218,99.85868611555247
94,4488,538,135,614.2326333848769,86.47377698513755,465.22892018004,504,-3199.4564039273782,100.27358323340829
95,4536,524,132,626.6666330018688,89.98091141985854,471.49997584005877,502,-4132.146734510406,100.00514402200265
96,4584,517,136,617.9160517550346,91.14268775942674,471.20769571623623,494,-3631.607286725981,99.88397684257518
97,4632,520,130,645.2832136611717,90.0371662243263,468.19326436649675,503,-4117.261017056063,99.91741294317904
98,4680,525,133,640.451135754221,86.73023533207531,455.33373549339535,502,-3746.1618880777664,99.98653675786501
99,4728,516,134,640.7549182237904,86.35340943310368,445.583592674815,469,-3684.2739957378603,100.0731683507965
100,4776,511,132,655.7232257146019,88.22629476018881,450.83636622456476,470,-3415.499918264157,100.09208880495397
