,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,288,109,147.68730886850153,86.60590277777777,249.425,742,5197.916666666988,100.0
2,72,265,115,305.2387640449439,94.51951360373984,250.47671104991056,760,20894.1245318369,199.75031210986268
3,120,245,115,332.78637788298346,104.07251862978438,254.97767064297176,762,22811.8638502626,99.88186352339397
4,168,226,118,339.71952408189725,116.17228309172519,262.54935978729895,823,23502.97982596022,99.92777216008903
5,216,238,126,344.81613880663116,114.17102751381493,271.72704548287953,793,24924.319415775466,100.09706161548526
6,264,268,126,359.06737231745257,105.71574042607173,283.31818434187227,703,25479.481180186503,99.84971033639337
7,312,285,123,382.8568864250046,104.15051076173165,296.8289556709352,730,26283.470295110026,100.01422225061987
8,360,288,118,403.8195973532014,108.89683732034634,313.6228914825974,705,26611.60862224777,100.32510661704586
9,408,290,124,403.4970294978386,114.48217994189086,331.9983218314835,713,27670.786272865476,99.87828962008578
10,456,319,133,390.8601824566788,110.79780039555774,353.4449832618292,664,27683.20586320016,100.14700464824674
11,504,334,124,418.51860842333866,113.58365431126849,379.3694053996368,660,27449.109953286654,99.68724100836424
12,552,368,124,432.40817552844715,111.06223475855448,408.7090239114805,614,28553.931980532743,100.17460760917909
13,600,391,125,443.78808102722564,112.82446804884972,441.1436700710024,606,29990.450656115827,100.11284418881108
14,648,414,121,461.98138367768087,115.26707393144815,477.2056860761954,511,30293.941109854866,99.83063349397871
15,696,447,122,471.86197412335133,115.70217712176131,517.188731734273,543,31243.801618361613,100.14206495041766
16,744,481,124,474.582319842022,115.62749818217576,556.1682662562654,543,32014.272787996495,99.69507254173827
17,792,516,127,479.86198693227914,114.42839670540668,590.4505269998986,521,33600.20413465007,100.1218535223787
18,840,542,135,461.22633802679104,114.01019191578854,617.9352401835739,474,33708.618308328936,100.17555348867221
19,888,567,130,480.29353588676224,110.23244201937057,625.0179462498311,451,33752.26369783805,99.96812479735983
20,936,585,134,470.4012629785064,107.29112686157194,627.6530921401959,457,33432.83021971248,99.96210824384677
21,984,606,132,478.7281244648961,103.21976740433215,625.5117904702528,446,33375.388031860864,100.10068530440287
22,1032,605,131,482.30432061519355,101.36611171410276,613.2649758703217,432,32738.86584099693,99.9746916069277
23,1080,604,132,485.7249844080021,97.01235832643229,585.9546442916511,448,33262.17061098364,99.95721243301288
24,1128,610,133,488.57858342849437,92.18113966651046,562.3049519657138,432,33503.38464207307,99.87319035377165
25,1176,606,133,487.0906833167057,88.06789840257159,533.6914643195838,435,32892.29400773722,100.20794776116472
26,1224,592,130,502.91399680684697,82.199557580865,486.6213808787208,456,32956.31357774387,99.76079877199801
27,1272,571,131,506.510974023742,80.91812561790759,462.04249727825237,466,33315.99134443859,100.19660024898201
28,1320,547,135,499.2245863063854,83.43072770910544,456.3660805688068,459,33128.91362172458,99.7010606408872
29,1368,533,136,501.69011892672205,83.27944845641976,443.8794602727173,463,32925.95064439333,100.0245300199414
30,1416,533,142,483.21032378998757,82.18431320545648,438.042389385083,455,31982.197535755717,99.98382603124168
31,1464,526,144,478.68062891362774,83.82195305638083,440.90347307656316,490,31056.23362700583,100.31929918842927
32,1512,535,139,494.4114520957509,83.41780669265155,446.2852658056858,488,30827.092923504766,100.00018545117219
33,1560,524,144,473.1456858934555,85.42187741597893,447.61063765972955,521,29219.15868538364,99.96985942832757
34,1608,522,140,487.5003944236631,85.68650508967225,447.2835565680892,482,28480.56134148444,100.02273572415648
35,1656,519,140,489.44403276540345,84.91019834841572,440.68392942827757,478,27718.745554552846,99.84850285509167
36,1704,518,140,488.16753443922426,86.53289483628313,448.2403952519466,499,26814.568716536513,100.11124551126294
37,1752,524,139,492.4358605815485,86.87239656051636,455.21135797710576,479,26294.514671425677,99.83601941887122
38,1800,522,134,515.0755396698505,87.00217841963293,454.1513713504839,508,26640.808628427512,99.89983893849288
39,1848,515,136,508.7197189983365,88.66798466730773,456.6401210366348,486,26298.110555968837,100.34199944682217
40,1896,515,141,492.63562684985175,89.37784168389247,460.2958846720462,469,25453.252901498527,99.78314624760436
41,1944,523,135,510.1778868399469,86.7953853927967,453.93986560432677,489,24740.350795317223,99.93382242786005
42,1992,527,136,513.52827157154,85.27251913385908,449.3861758354373,457,25087.93694107241,100.11752622839913
43,2040,517,129,539.3915514987974,87.25162087988937,451.090879949028,498,24599.16666735966,100.02245265849942
44,2088,516,135,521.1995732632366,88.2874615999535,455.5633018557601,491,24573.27862959239,99.89780123836061
45,2136,521,140,509.41490777173357,86.93258678028424,452.91877712528094,473,24400.646859137552,100.12556713237423
46,2184,517,139,512.4221372348103,88.53499464329516,457.725922305836,479,23472.06890009339,99.92497741181649
47,2232,517,135,532.224203186365,89.43165152581511,462.36163838846414,531,23560.394260961264,99.87104576158183
48,2280,508,137,525.0459540123258,91.78174023179922,466.25124037754,506,23130.968579575478,100.331992253993
49,2328,509,132,551.8009812060814,92.75335022241869,472.11455263211116,483,23186.554757943333,99.8572513114727
50,2376,521,133,544.3154295337083,90.06641083120009,469.24600043055244,521,22327.840853870686,99.99693088107418
51,2424,512,138,533.9857897418638,92.24187797623978,472.2784152383477,474,22399.950608947292,99.87151780688244
52,2472,518,132,561.5020757518892,92.52376834882381,479.27312004690737,468,22493.537278263404,100.24211680760878
53,2520,522,136,543.0000722325467,93.61111164169657,488.65000276965606,459,21509.70024984846,99.82792719014144
54,2568,533,141,530.9546733741212,90.69256120125175,483.3913512026718,484,21607.56347478612,99.83474742156554
55,2616,539,135,546.6251029243097,89.10491001010982,480.2754649544919,500,20410.491491892135,100.20350144697912
56,2664,543,138,542.5915487422918,87.24521012533648,473.74149098057717,486,20779.45796430025,99.98666527906873
57,2712,522,135,556.138579616831,88.54573253494938,462.2087238324358,512,20452.356782941377,99.90658322365012
58,2760,527,139,543.603136651208,86.19961854663066,454.2719897407436,456,20017.41797822447,100.25614541877027
59,2808,520,137,547.6973508180491,86.83285640786619,451.5308533209042,500,19068.962239382956,99.96352140429049
60,2856,512,146,517.8547107335629,90.31090416260768,462.39182931255135,519,18532.48398289463,99.88411168030215
61,2904,522,147,513.2245650744374,90.00462596857817,469.8241475559781,468,17131.69182050551,99.91572308977977
62,2952,526,147,510.55228701385045,89.54794762294837,471.02220449670847,460,15598.90041868792,100.11458533975508
63,3000,525,140,528.4335870922449,90.619356670302,475.7516225190855,480,14292.599009555572,99.85756508233608
64,3048,519,145,509.74204716295935,90.46408437476221,469.50859790501585,477,13309.537075693861,100.1283186828789
65,3096,524,141,517.3403377674815,89.66753612502694,469.85788929514115,490,11915.045847348301,99.80199055120615
66,3144,528,145,506.3474863110895,89.94752704562121,474.92294280088004,517,11268.952277680793,100.12063551716913
67,3192,531,137,533.9797794722366,87.80858089903629,466.2635645738827,497,10251.285575498707,100.19760074106102
68,3240,519,141,518.9274816203795,88.71882042205313,460.45067799045574,488,9136.372503635523,99.91604370941575
69,3288,520,139,522.7215104714576,88.54001397933888,460.4080726925622,469,7785.988856395931,100.0790001529792
70,3336,521,137,538.9748116998767,89.69022940667251,467.2860952087638,483,8230.540541638655,99.84534978026024
71,3384,523,142,517.2519595601125,87.7219919702718,458.78601800452157,494,6825.585748592455,100.09369498896824
72,3432,518,139,528.6383163335069,86.96320247684243,450.4693888300438,479,6222.407327767096,100.05361663586504
73,3480,519,135,548.4051064427474,84.16998801255289,436.8422377851495,497,6033.6179972157,99.91392649104559
74,3528,514,134,554.1584090941546,82.47472170094318,423.92006954284795,505,5624.442838709695,99.85044408265207
75,3576,494,133,560.1741521788147,86.71452140605875,428.36973574593026,484,5144.997691663139,100.09474046217133
76,3624,487,139,546.6779747124874,88.49416534138405,430.96658521254034,542,5511.777653236665,100.04577910005102
77,3672,490,141,536.6565215567161,92.58629447587408,453.672842931783,492,4265.062117109822,99.87917549900618
78,3720,493,137,556.1055438374556,93.23508404357526,459.648964334826,478,3842.2195136594264,99.95458870011728
79,3768,497,137,553.6850321801376,94.89248462239598,471.6156485733081,530,2582.626798186569,100.2082576709153
80,3816,514,141,539.6991162572771,91.73316638460784,471.50847521688434,500,2008.6861151172968,100.07062143055536
81,3864,519,138,549.9280347639989,92.069190426385,477.8390983129382,487,1375.6182142095383,99.92424452058684
82,3912,534,133,571.8570289548345,89.60645226682334,478.49845510483664,503,1110.6464804014986,100.04374328003748
83,3960,524,139,551.1857850614521,91.68026650700858,480.404596496725,489,544.4262971120407,99.71497294905416
84,4008,525,144,535.1517021136359,90.0714508871887,472.8751171577407,504,-23.49431950584797,100.12960037072999
85,4056,526,148,517.5827909157294,91.23908148401547,479.9175686059214,504,-1400.8626252737702,99.98205828963549
86,4104,530,138,547.8805058710866,90.612950635932,480.2486383704396,485,-2231.637583274925,100.04944883822358
87,4152,533,141,536.951106980257,89.37644210188543,476.3764364030494,517,-3155.71061009356,100.07123312703398
88,4200,531,141,537.5227592219072,88.5519034102411,470.2106071083802,473,-3595.2818149193454,99.78719315212398
89,4248,524,138,546.6255722775501,89.07669930883735,466.76190437830775,494,-4371.003948569285,100.2628373713409
90,4296,532,141,536.1555796725062,85.87673784448047,456.86424533263613,480,-4817.57224832159,99.84023481665182
91,4344,516,141,537.0798504650733,86.48444420229393,446.25973208383664,481,-5826.715832235123,100.10513803628672
92,4392,522,137,547.1481286199323,83.50425462834438,435.8922091599577,488,-6816.75469896316,99.98047025594458
