,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,276,122,173.80464480874318,86.83876811594203,239.675,729,9004.166666666782,100.0
2,72,237,134,271.9371890547263,89.6513143892245,212.47361510246208,779,21743.75000000039,133.33333333333334
3,120,204,141,317.36366948416526,93.70171180297815,191.15149207807542,828,28727.433871026526,99.98980708442203
4,168,179,148,324.71927172301673,99.90877312953145,178.83670390186128,908,30291.288772452164,99.77199787928554
5,216,145,150,350.85713192527663,104.48162161006915,151.49835133460027,994,33940.32462495675,99.99045687718989
6,264,131,139,416.8410542899361,91.17626218568941,119.44090346325312,1010,38288.24692882906,100.16144216401925
7,312,108,135,464.73249531668495,78.75765184194942,85.05826398930537,1105,42352.32048892714,107.1231611415774
8,360,80,134,493.6409847009964,65.81461161659311,52.65168929327449,1192,45036.986018374635,111.8961849843468
9,408,46,121,538.5080066281555,63.0260107476992,28.991964943941635,1342,43793.0740038565,122.80418864455439
10,456,30,114,519.2166541825829,66.49941627128547,19.94982488138564,1414,37799.458771755904,196.29256193921705
11,504,19,105,527.9943762918539,65.0195921401895,12.353722506636004,1480,34018.88456372032,212.68253179687346
12,552,14,98,487.1694303528139,69.19347725352569,9.687086815493597,1509,26301.748775623222,125.5857109733076
13,600,10,90,454.56364308724926,73.39357857896366,7.339357857896366,1537,19445.467918595925,215.01634441058317
14,648,9,78,430.92486146019525,73.81002465946628,6.642902219351965,1549,12111.588691244107,136.1053542899759
15,696,8,66,409.0987125919702,79.4551065423558,6.356408523388463,1555,5464.943640333704,132.2387869218801
16,744,7,59,368.2242704556268,72.72876402543777,5.091013481780644,1557,169.89574445601693,113.51157272235899
17,792,7,48,344.79862208021314,62.57075131144694,4.379952591801286,1557,-5039.569537376881,65.60403472788968
18,840,6,44,290.6283675067043,61.16604180528194,3.669962508316917,1564,-8815.632169315288,250.0
19,888,6,31,298.35396141978555,63.28319099464583,3.79699145967875,1564,-12392.715502649735,40.52154019297086
20,936,6,25,259.39522277379035,72.90177323708095,4.3741063942248575,1561,-15176.048835983878,250.0
21,984,5,16,280.45391304085507,96.80051986234862,4.840025993117431,1570,-17198.965502650422,20.0
22,1032,5,11,285.6887792640395,113.31250048505277,5.6656250242526385,1568,-18559.382169316297,20.0
23,1080,7,7,320.9026549963008,97.56041165811855,6.829228816068299,1556,-19469.798835982434,20.0
24,1128,8,6,263.6709242510048,100.78704767542554,8.062963814034044,1544,-20136.465502648713,20.0
25,1176,8,5,215.4349923267374,108.77038980200204,8.701631184160163,1546,-20645.21550264838,20.0
26,1224,8,4,176.16164760768262,130.19172048418187,10.41533763873455,1551,-21020.21550264812,75.0
27,1272,10,3,120.84401615908024,120.46578848460413,12.046578848460413,1539,-21366.04883598125,133.33333333333334
28,1320,12,2,67.2420996892657,118.9441737404919,14.273300848859028,1520,-21597.298835981117,182.6679780351208
29,1368,13,6,46.77787980046238,130.689027577406,16.98957358506278,1514,-21954.214191279018,164.23239761394865
30,1416,16,14,45.46902450595643,123.73392081203137,19.79742732992502,1505,-22919.14846033108,20.0
31,1464,18,1,130.31634308338906,129.56062638130464,23.320912748634836,1490,-23478.315126997408,250.0
32,1512,21,13,56.17818023718387,129.5076997495551,27.196616947406568,1466,-24078.315126996877,66.66666666666667
33,1560,25,2,89.11650487502821,126.86340501417595,31.71585125354399,1455,-24676.231793663195,50.0
34,1608,31,1,80.3163430833895,122.75320588502893,38.05349382435897,1415,-24728.31512699647,250.0
35,1656,34,1,89.58333333333336,132.78262458775785,45.14609235983767,1406,-24822.065126996415,20.0
36,1704,40,1,97.91666666666667,136.43772597757396,54.57509039102959,1367,-24917.898460329692,20.0
37,1752,46,1,-2.083333333333283,142.12106102801263,65.37568807288582,1344,-25017.898460329634,20.0
38,1800,60,1,6.2500000000000515,130.61664943223914,78.36998965934349,1253,-25113.73179366291,20.0
39,1848,66,1,54.583333333333414,140.99513158607658,93.05678684681054,1259,-25169.56512699619,20.0
40,1896,82,1,121.25000000000003,134.78287827951203,110.52196018919987,1193,-25205.398460329467,40.0
41,1944,93,8,117.2916666666667,139.86936566357767,130.07851006712724,1158,-25088.315126995894,83.33333333333333
42,1992,118,14,65.8104395604396,126.58371715086778,149.368786238024,1107,-25809.46897314895,23.076923076923077
43,2040,127,12,113.48181580324429,134.88020696467697,171.29786284513975,1021,-26104.994875817138,53.06122448979592
44,2088,145,31,155.8609113620634,134.18160626240015,194.56332908048023,978,-24639.255079897852,140.0
45,2136,162,53,181.55847272574843,123.72024423703968,200.4267956640043,951,-22255.699719831537,26.857867112174983
46,2184,188,45,210.25469296912593,109.30402660304095,205.491570013717,860,-22648.03345333997,60.935249016417416
47,2232,186,60,261.19107833953944,110.68428525617615,205.87277057648765,877,-18143.1327339024,98.05796570124676
48,2280,183,80,310.53289941556136,104.8506030744014,191.87660362615458,862,-11282.633135131942,77.44742479879207
49,2328,169,92,333.84872100141996,100.64053350749182,170.0825016276612,898,-6715.349422913738,77.2677208746457
50,2376,157,102,366.2870607708338,96.26617008596422,151.13788703496382,973,-1795.9386670027882,108.69860710719408
51,2424,132,118,411.7612738014774,89.30664338483243,117.88476926797881,1050,7207.034087536263,100.58957857646865
52,2472,105,106,490.299451159324,87.19713318883474,91.55698984827649,1113,10023.20216259876,95.15151052520721
53,2520,80,103,533.8107161614943,86.1715732547141,68.93725860377128,1194,12299.976056633595,125.71302346970197
54,2568,67,97,576.6925641054999,85.63535179881102,57.37568570520338,1251,12823.18151405472,150.38225090171795
55,2616,54,91,616.5829474926754,87.38089512044655,47.18568336504114,1307,12763.105733763956,137.7178102664863
56,2664,45,87,615.6205041194343,87.51454392909432,39.381544768092446,1352,10200.214867856628,114.9153711493669
57,2712,37,82,610.3614435573749,92.29813631730623,34.150310437403306,1380,6676.202353078835,134.01934736268498
58,2760,33,76,614.3047499159286,87.9169185891453,29.012583134417948,1402,3296.691933859906,105.7774924895913
59,2808,27,73,576.3135089892346,93.17119284383088,25.15622206783434,1428,-1331.0653180306556,125.54457730008737
60,2856,26,69,559.2984050433181,82.64782206363041,21.488433736543907,1448,-4690.175795507363,132.97250110139152
61,2904,23,62,552.7649514152374,83.9437932842703,19.30707245538217,1466,-9030.288166230162,97.56351193642604
62,2952,20,56,534.3055393252746,90.15863805616542,18.031727611233084,1484,-13398.132761897523,134.15009271463683
63,3000,16,52,511.1900690266832,101.40926589656856,16.22548254345097,1503,-16750.50497337788,119.92288495820236
64,3048,15,44,531.3660850694602,108.74873628013356,16.312310442020035,1517,-19978.836835984253,187.74713597493766
65,3096,15,39,520.8545113589165,109.97493569972818,16.496240354959227,1512,-23059.816368271804,81.70508571455565
66,3144,16,37,473.70607294629315,105.39563212978666,16.863301140765866,1497,-25850.30960489703,108.14966691107078
67,3192,19,32,468.0288162386946,95.7335590830805,18.189376225785292,1487,-28416.832826384052,105.55555555555556
68,3240,19,30,429.2539804504996,103.49307488841355,19.663684228798576,1484,-30522.014450313884,138.46153846153845
69,3288,20,27,402.3554015801661,99.75625747309093,19.951251494618187,1473,-32543.328552876323,61.904761904761905
70,3336,21,21,474.73037259029707,105.12474486755825,22.07619642218723,1469,-33452.562582386396,210.91139190742587
71,3384,22,19,482.1531230186528,107.77229519868723,23.70990494371119,1466,-34370.14390784864,62.229924525655214
72,3432,23,17,473.85400081276345,114.51650776993449,26.338796787084934,1473,-35482.3827767482,123.07692307692308
73,3480,26,16,418.229260091013,118.82187068945429,30.893686379258117,1458,-36848.72893059623,100.0
74,3528,30,15,407.5777400301256,120.37604958019797,36.11281487405939,1410,-37532.06226393135,250.0
75,3576,33,16,358.2519636284633,119.02089169168144,39.27689425825488,1415,-38220.043033164075,23.076923076923077
76,3624,36,11,441.1929661504308,120.20411674177662,43.273482027039584,1383,-39119.08149470399,43.333333333333336
77,3672,40,13,369.82901855132616,125.01119572304958,50.00447828921983,1369,-39468.24816137186,187.5
78,3720,46,12,386.58560343060316,124.92057516183691,57.46346457444498,1359,-39745.331494706756,100.0
79,3768,55,10,394.090757007671,121.53917310658994,66.84654520862446,1257,-40450.01262352418,112.24276892528114
80,3816,59,12,332.08504581894834,129.636690339579,76.4856473003516,1285,-40605.89964377488,79.1934213134579
81,3864,65,14,294.83954026573775,132.69194254904906,86.24976265688188,1239,-40767.33329655008,85.83986638553523
82,3912,73,14,283.06587593564484,135.38062360395307,98.82785523088575,1241,-41036.33126383958,72.30785429985309
83,3960,87,13,297.0563683138107,128.99944766056302,112.22951946468982,1182,-41141.6874055273,78.37837837837837
84,4008,99,23,242.41996584808535,129.26739826126433,127.97472427865169,1094,-40427.76097910259,137.03703703703704
85,4056,112,30,231.8162715298786,123.93230712039826,138.80418397484607,1101,-40061.43204771555,44.26229508196721
