,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,285,120,168.33333333333334,83.3859649122807,237.65,733,8200.000000000311,100.0
2,72,242,120,279.42618671618294,88.0163048999257,212.9994578578202,792,20101.920206857652,133.2778009162849
3,120,214,124,341.2670664126257,90.92542546201953,194.58041048872178,836,27139.977369421562,99.91647279099755
4,168,184,128,402.5147740223205,90.89275728187981,167.24267339865884,907,34902.94648282339,99.9778701650662
5,216,159,135,428.2401392126782,88.85477921901833,141.27909895823913,972,39662.085142036914,100.13179206468139
6,264,130,139,444.28708275894934,86.48568985890442,112.43139681657574,1043,42377.94796050349,100.0039935459235
7,312,97,128,526.6439825289315,76.28559393885594,73.99702612069026,1161,46959.34062305955,102.55184043016315
8,360,62,126,554.101522625368,71.26451497808328,44.183999286411634,1288,48836.67182908179,120.01337840098624
9,408,40,116,600.8608648741396,64.65440826028356,25.861763304113424,1349,48581.44820087603,177.10669981426082
10,456,26,111,581.9370422247954,63.121238990511976,16.411522137533115,1446,43458.83328927574,135.81606396915595
11,504,19,106,562.4996080339487,60.356792079997604,11.467790495199544,1477,38474.44212086225,250.0
12,552,13,98,528.3362208882138,62.89136915637589,8.175877990328866,1514,30602.692982957393,98.8438577628938
13,600,11,88,500.42797162831323,50.24754487781156,5.527229936559272,1529,22930.028675152553,156.0593131576323
14,648,8,82,452.32475182553094,41.03259140433526,3.2826073123468205,1542,15964.198134322633,93.88914361892063
15,696,5,72,420.78236688436476,54.73710283175652,2.736855141587826,1565,9135.170611272653,250.0
16,744,4,62,386.09970136619586,41.807240322504185,1.6722896129001674,1578,2744.191588547816,100.92365909163199
17,792,3,48,396.10883882618305,34.78003977726261,1.0434011933178784,1580,-2223.870767510627,51.55313388697203
18,840,3,42,346.1414973743605,27.38741759272051,0.8216225277816154,1581,-6717.204100843709,20.0
19,888,2,35,307.9726346348797,32.9496959759112,0.658993919518224,1592,-10500.5374341775,20.0
20,936,1,31,244.5595859556251,39.025593930756585,0.39025593930756586,1594,-13709.704100845107,131.00290848267213
21,984,1,23,216.43793090132863,45.15056486986735,0.45150564869867355,1591,-16336.787434179205,20.0
22,1032,1,16,195.62622447492757,52.24647278826822,0.5224647278826822,1593,-18209.70410084482,20.0
23,1080,1,11,160.56486764611586,61.63301027841707,0.6163301027841707,1594,-19586.787434177353,20.0
24,1128,1,5,207.734723247251,73.33315202316028,0.7333315202316029,1595,-20332.620767510252,20.0
25,1176,1,3,234.18897139179126,83.74048004365045,0.8374048004365046,1594,-20676.370767510052,20.0
26,1224,1,1,468.4979908329139,98.38366113794389,0.9838366113794389,1594,-20915.954100843246,20.0
27,1272,1,1,368.4979908329148,113.51366594413966,1.1351366594413965,1594,-21015.954100843188,20.0
28,1320,1,1,268.4979908329157,138.26091225333158,1.382609122533316,1592,-21115.95410084313,20.0
29,1368,1,1,168.4979908329154,163.93334625150885,1.6393334625150886,1593,-21215.95410084307,20.0
30,1416,2,1,68.49799083291536,100.78240882723645,2.015648176544729,1586,-21315.954100843013,20.0
31,1464,2,1,72.91666666666673,116.37922610538735,2.327584522107747,1583,-21413.870767509623,20.0
32,1512,2,1,81.25000000000004,139.63323265929034,2.792664653185807,1586,-21509.7041008429,20.0
33,1560,2,1,89.58333333333336,164.57826511691206,3.2915653023382414,1586,-21605.537434176178,20.0
34,1608,2,1,97.91666666666667,197.2087216648538,3.9441744332970763,1588,-21701.370767509456,20.0
35,1656,4,1,-2.083333333333283,116.41537887032044,4.656615154812818,1573,-21801.370767509397,20.0
36,1704,4,1,6.2500000000000515,133.84866838728743,5.353946735491498,1575,-21897.204100842675,20.0
37,1752,4,1,14.583333333333387,157.34064222061102,6.293625688824441,1575,-21993.037434175953,20.0
38,1800,6,1,22.916666666666718,128.35519728884356,7.701311837330613,1564,-22088.87076750923,20.0
39,1848,8,1,31.250000000000046,115.59963338506887,9.24797067080551,1552,-22184.704100842508,20.0
40,1896,8,1,39.583333333333385,135.81356264637193,10.865085011709755,1556,-22280.537434175785,20.0
41,1944,8,1,47.91666666666673,163.12269696925003,13.049815757540003,1560,-22376.370767509063,20.0
42,1992,10,1,56.25000000000007,157.94087701687596,15.794087701687594,1537,-22472.20410084234,20.0
43,2040,16,1,64.58333333333341,116.80475593357345,18.68876094937175,1501,-22568.037434175618,20.0
44,2088,16,1,72.91666666666673,138.66759418812674,22.18681507010028,1501,-22663.870767508895,20.0
45,2136,16,1,81.25000000000004,166.74923821748266,26.679878114797226,1495,-22759.704100842173,20.0
46,2184,25,1,89.58333333333336,127.6331365191879,31.908284129796975,1444,-22855.53743417545,20.0
47,2232,31,1,97.91666666666667,122.4930277424757,37.97283860016747,1421,-22951.370767508728,20.0
48,2280,32,9,90.5092592592593,141.0394621540078,45.132627889282496,1420,-23034.704100841955,100.0
49,2328,33,2,43.75000000000009,160.443419238714,52.94632834877562,1404,-23790.954100841456,20.0
50,2376,47,1,97.91666666666667,134.87240519754823,63.390030442847674,1324,-23888.870767508066,250.0
51,2424,59,1,-2.083333333333283,129.72809866965412,76.53957821509593,1282,-23988.870767508008,20.0
52,2472,62,1,46.25000000000004,146.8848435304263,91.06860298886431,1281,-24044.704100841285,20.0
53,2520,73,1,56.25000000000007,148.3304080513232,108.28119787746593,1225,-24138.45410084123,20.0
54,2568,101,8,121.875,126.72980861655728,127.99710670272285,1115,-24023.4541008411,100.0
55,2616,116,9,99.7685185185186,128.2736283138868,148.7974088441087,1078,-24408.870767507167,27.77777777777778
