,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,283,117,180.89387464387468,82.44257950530036,233.3125,755,9464.58333333339,100.0
2,72,245,131,261.49624399826433,88.90333431218386,217.81316906485046,811,20334.84150530889,133.25005205080157
3,120,205,130,301.19226133332967,100.24764949656355,205.5076814679553,837,24079.6293102718,99.98423103104757
4,168,174,118,377.6237142632746,106.58649004667525,185.46049268121493,976,28933.45255053172,99.92352972371737
5,216,155,132,416.22999525665296,100.62075840548,155.96217552849401,967,37091.06728418246,108.27283573813784
6,264,138,130,482.7281597985535,85.84264597960427,118.4628514518539,1035,44364.54028440955,92.48209790346209
7,312,111,126,539.0965891885324,76.3121778311139,84.70651739253643,1100,49013.05833722632,106.1916558701188
8,360,70,132,539.6663003734266,75.27888166647662,52.69521716653364,1225,51412.78604245941,116.59993236840248
9,408,49,120,582.1709145375366,69.87893047436494,34.24067593243882,1302,49992.166108197525,138.85203035213036
10,456,30,114,590.9619271829612,75.53590551692345,22.660771655077035,1440,47381.12930249769,168.26758232928816
11,504,20,108,567.5750672664649,78.14624659200379,15.629249318400758,1467,41290.649995833235,171.23807683611213
12,552,15,102,533.4514063014472,75.79538617607948,11.36930792641192,1507,34387.090708132586,130.6878855488006
13,600,11,95,487.6458513842575,74.21063877268737,8.163170264995612,1534,26278.277128347938,149.13666716462873
14,648,8,85,465.05572795558845,72.68548163421923,5.814838530737538,1557,19455.92410846276,197.74406189184725
15,696,6,71,459.5659082921486,79.25969708338675,4.755581825003206,1560,12515.648656044492,111.68991904352673
16,744,6,64,417.96037007162266,73.53165227012161,4.411899136207297,1564,6612.755241753662,250.0
17,792,4,52,422.44920107596926,88.06920058536491,3.5227680234145966,1576,1794.376085675166,58.51875529392189
18,840,4,40,431.56823892167233,102.11312562453006,4.084525024981202,1572,-2949.373914324849,250.0
19,888,4,35,393.13302184946184,102.63920796578266,4.105568318631306,1573,-6468.123914324606,80.0
20,936,3,29,374.83441543814246,128.93072607324697,3.867921782197409,1581,-9378.524039801077,199.18320785691571
21,984,3,21,403.84896252662213,151.3887300391148,4.541661901173444,1584,-11792.90233774287,50.20503539225833
22,1032,4,18,363.83045129002477,122.05799247861606,4.8823196991446425,1580,-13732.280635684523,250.0
23,1080,5,16,343.39214640615273,97.48263183279455,4.874131591639728,1569,-14896.863969018348,25.0
24,1128,5,14,298.00174297668855,112.5240718308517,5.626203591542585,1568,-16226.03063568543,100.0
25,1176,5,20,221.60606871109954,110.11050928916953,5.505525464458477,1570,-16669.780635684838,200.0
26,1224,6,11,264.7156298704513,95.52138567911068,5.731283140746641,1558,-18225.613969017126,20.0
27,1272,6,9,289.4792763851549,105.52825917218432,6.331695550331059,1558,-18850.613969016616,250.0
28,1320,7,8,248.94245044568845,108.07186987597376,7.565030891318163,1557,-19569.36396901611,150.0
29,1368,7,4,397.88490089137616,128.32988253497456,8.98309177744822,1555,-19986.030635682535,100.0
30,1416,8,3,442.6814106308225,130.5733743875491,10.445869951003928,1548,-20252.697302348988,200.0
31,1464,10,5,251.4421797118266,122.56665865977035,12.256665865977036,1537,-20523.530635682106,100.0
32,1512,12,3,276.01474396415574,122.86279773701455,14.743535728441746,1521,-20961.03063568185,33.333333333333336
33,1560,13,2,445.7140455894256,132.18046259810103,17.183460137753134,1523,-20900.613969015056,250.0
34,1608,15,11,68.72831131928957,132.87342760655034,19.93101414098255,1510,-21936.03063568112,33.333333333333336
35,1656,18,2,245.71404558942615,131.77450878771725,23.719411581789103,1494,-22238.113969014277,150.0
36,1704,22,9,131.68645457542814,125.74375906989857,27.663626995377687,1473,-22244.363969013953,200.0
37,1752,24,10,86.97614245121876,134.17290348849517,32.201496837238835,1447,-23284.780635679886,20.0
38,1800,27,3,163.1149192818406,143.56062099903792,38.76136766974024,1449,-23673.113969012982,250.0
39,1848,35,2,120.71404558942743,133.25346056388824,46.638711197360884,1392,-23923.113969012837,20.0
40,1896,40,2,30.714045589427485,139.06112179385235,55.62444871754094,1382,-24103.11396901272,20.0
41,1944,48,1,72.91666666666673,138.52934286011504,66.49408457285521,1338,-24196.447302345976,100.0
42,1992,58,1,81.25000000000004,137.81044084884337,79.93005569232915,1307,-24292.280635679253,20.0
43,2040,68,1,89.58333333333336,140.525773831488,95.55752620541185,1257,-24388.11396901253,20.0
44,2088,83,1,97.91666666666667,138.00188920702988,114.54156804183481,1218,-24483.94730234581,20.0
45,2136,97,1,-2.083333333333283,141.09426035420339,136.86143254357728,1130,-24583.94730234575,20.0
46,2184,117,1,6.2500000000000515,139.73209804887193,163.48655471718018,1102,-24679.780635679028,20.0
47,2232,145,1,14.583333333333387,134.7816218140365,195.43335163035292,987,-24775.613969012305,100.0
48,2280,171,10,79.74999999999996,134.91391483059493,230.70279436031734,919,-24896.86396901191,20.0
49,2328,195,6,90.69444444444433,136.76608257579963,266.6938610228093,875,-25145.61396901146,20.0
50,2376,228,27,143.05246913580243,134.5578136039902,306.7918150170977,764,-24031.113969010858,84.0
51,2424,255,45,173.59651274651281,127.84505812318898,326.0048982141319,754,-21881.68756208237,32.467532467532465
52,2472,284,52,208.70102712774195,118.90675034077347,337.6951709677967,724,-19644.892160095405,56.87928382268572
53,2520,299,76,278.78903170067827,113.93090426427179,340.6534037501727,713,-11813.545828151753,83.23550880716667
54,2568,310,97,356.61259140675133,104.35575737444823,323.50284786078953,715,-614.2575376157898,81.31860794337744
55,2616,315,115,425.3126559200588,99.05420889809677,312.0207580290048,712,11176.24707595606,99.98170302005488
56,2664,313,127,466.3857754131613,99.1736594429937,310.41355405657026,666,19569.252100251164,99.79752906995681
57,2712,320,136,493.50936284706734,96.55823503767645,308.9863521205647,681,26038.46036145768,100.15270581376049
58,2760,307,145,515.9787216078975,100.13495693725353,307.41431779736837,678,32321.164447713953,99.96577489013829
59,2808,307,158,513.8140248950024,99.30367877481252,304.8622938386745,718,36972.366670238305,100.0486507951997
60,2856,313,155,556.2814379058965,96.38855289397122,301.69617055812995,673,40749.22995196716,99.88195551907668
61,2904,301,160,574.4228295103142,98.85900052441305,297.5655915784833,673,44901.43050516427,100.16894218795161
62,2952,304,175,554.6682371979508,96.9124003603589,294.6136970954911,702,48145.301727746395,99.8102600132053
63,3000,300,170,596.0735088240207,96.61238472952837,289.83715418858515,680,51471.99854659364,100.09877690273626
64,3048,286,172,611.0448784796355,99.0615582460869,283.3160565838085,722,54003.27700412848,99.89385267459659
65,3096,283,177,616.7487881339658,97.79247086990593,276.7526925618338,715,56536.436643920344,99.95725112133103
66,3144,276,183,613.6283307604002,97.63220645594028,269.4648898183952,746,58026.579698046735,100.06731814852105
67,3192,274,187,615.7325564470184,94.75302603473995,259.62329133518745,681,59539.16011171055,100.11556321784342
68,3240,264,191,616.4395457409529,94.1976812873661,248.6818785986465,756,60487.482790655056,100.0336162237307
69,3288,259,200,598.8270831382232,91.1126169776173,235.9816779720288,771,60573.705859525384,99.84387898577369
70,3336,248,194,622.2798809390077,89.60132056273805,222.21127499559037,758,60882.202058081835,99.99049273224162
71,3384,228,187,649.230466252709,89.54724875875867,204.16772716996977,790,60815.49874256901,100.01065981515215
72,3432,204,182,680.9572564884709,89.80680584030367,183.2058839142195,840,62387.06512396885,100.08656574504582
73,3480,185,184,685.505769167911,85.31394406639633,157.8307965228332,865,63450.47410692892,99.98312080991865
74,3528,167,186,699.7222963234414,76.07344966251553,127.04266093640094,951,66431.10207074815,99.9484172764915
75,3576,133,176,743.0949881811285,70.63716114371056,93.94742432113505,1030,66212.67859645552,99.9903472109317
76,3624,95,164,762.4761469681492,78.57113309307296,74.64257643841931,1138,60536.203720515194,100.02744592025104
77,3672,53,160,783.3770626447096,67.10233117020692,35.56423552020967,1295,60615.25756097309,104.24511620938472
78,3720,26,150,795.5156871203844,59.662717587895635,15.512306572852866,1444,54569.66848889031,156.4130155364722
79,3768,14,137,814.6915280451818,52.08909574548194,7.292473404367472,1514,46809.613721920454,250.0
80,3816,6,129,781.8594162841238,69.39314355252436,4.163588613151462,1557,36027.9922866422,171.4039660236123
81,3864,5,120,748.1458294386263,49.511771653896986,2.4755885826948494,1563,24915.320048807633,250.0
82,3912,4,112,715.0341869251055,19.34500453993454,0.7738001815973816,1573,15194.719972092198,213.59998081976417
83,3960,0,102,682.0415126161336,0.0,0.0,1599,4642.714413930837,72.99444184014907
84,4008,0,93,643.5815735928668,0.0,0.0,1600,-5101.035586069176,250.0
85,4056,0,85,597.6325565964783,0.0,0.0,1600,-14178.118919403802,20.0
86,4104,0,74,579.8063971312515,0.0,0.0,1600,-22107.285586067777,20.0
87,4152,0,67,534.9946187479691,0.0,0.0,1600,-29192.70225273032,20.0
88,4200,0,57,521.2330719133814,0.0,0.0,1600,-35357.28558606459,20.0
89,4248,0,51,476.072457716597,0.0,0.0,1600,-40807.28558607093,20.0
90,4296,0,43,456.995727383568,0.0,0.0,1600,-45461.452252743016,20.0
91,4344,0,37,422.2056388141036,0.0,0.0,1600,-49509.368919414395,20.0
92,4392,0,31,390.91774296174606,0.0,0.0,1600,-53032.28558608516,20.0
93,4440,0,24,392.4884108937388,0.0,0.0,1600,-55753.118919421664,20.0
94,4488,0,21,341.28319094198713,0.0,0.0,1600,-58015.6189194243,20.0
95,4536,0,18,284.81108797698585,0.0,0.0,1600,-60065.618919426684,20.0
96,4584,0,12,303.41369462105905,0.0,0.0,1600,-61569.7855860951,20.0
97,4632,0,8,335.1862585547551,0.0,0.0,1600,-62542.7022527629,20.0
98,4680,0,7,278.93373474571496,0.0,0.0,1600,-63273.95225276375,20.0
99,4728,0,5,263.76380444008925,0.0,0.0,1600,-63915.61891943117,20.0
100,4776,0,5,163.76380444008964,0.0,0.0,1600,-64415.61891943175,20.0
