,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,283,117,193.144586894587,83.29505300353357,235.725,760,10897.916666666546,100.0
2,72,245,134,264.90982587064684,89.56900998240273,219.4440744568867,786,21085.416666666748,133.33333333333334
3,120,202,139,324.4073470273455,96.99461211824693,195.92911647885882,854,28930.001485223074,99.88024841446402
4,168,168,144,348.37681392976236,105.74839949421441,177.65731115028024,924,32674.153404050725,100.03787115869562
5,216,156,142,395.5351117915447,98.36550495093373,153.45018772345662,985,37323.15342493385,99.9042431387731
6,264,143,146,421.1740422853621,86.03502581763414,123.03008691921681,1021,41625.678914129356,99.98373008793553
7,312,114,142,463.8272133226127,75.3165802513908,85.86090148658552,1097,45159.704100577575,100.0759771655308
8,360,74,130,518.9790473313653,69.69734284160495,51.57603370278766,1219,46416.1478884664,109.00803518396928
9,408,48,119,550.9232787883547,69.08073175796439,33.158751243822906,1334,44476.83593244391,147.93221866602087
10,456,34,115,554.2666179524131,58.591040561466365,19.920953790898565,1385,42541.75406707416,185.24161925332547
11,504,20,107,541.7721400330979,63.64715444750018,12.729430889500037,1478,36743.93414306015,141.80433553929652
12,552,14,97,537.8474976742157,50.2758845617404,7.038623838643656,1511,30916.94716351004,175.37306452100296
13,600,7,91,491.15663433551623,70.65531847374493,4.945872293162145,1552,23423.9993267908,152.88562935820696
14,648,6,79,471.9749732695771,64.11176014154314,3.846705608492589,1565,15979.291844228252,250.0
15,696,5,71,427.8081443963542,49.18467324012952,2.459233662006476,1572,9043.963805603787,103.5017649036833
16,744,4,60,416.1925851511423,45.88478553053828,1.8353914212215312,1570,3606.4638056041217,250.0
17,792,4,52,374.50157551354135,43.04204298875327,1.721681719550131,1573,-1916.4528610626035,44.44444444444444
18,840,2,44,353.9909653523311,25.642467593373144,0.5128493518674629,1585,-5840.758416617921,225.0
19,888,2,35,331.38904544787664,28.20057841229565,0.564011568245913,1588,-9847.008416618079,66.66666666666667
20,936,2,28,307.7398524798122,33.89271542695804,0.6778543085391608,1588,-12851.17508328562,20.0
21,984,1,24,251.55245657225134,72.50977442254239,0.725097744225424,1596,-15444.925083286375,20.0
22,1032,1,16,244.57940977383677,83.2388536177043,0.832388536177043,1592,-17592.84174995261,20.0
23,1080,1,10,267.0770739491867,79.08886755484701,0.7908886755484702,1594,-18853.258416618544,20.0
24,1128,1,6,303.2344601321716,90.71696343254563,0.9071696343254563,1593,-19717.841749951374,20.0
25,1176,1,5,247.60979294460304,104.93768050336917,1.0493768050336916,1591,-20303.2584166177,20.0
26,1224,1,4,194.2264334827242,123.50564112881658,1.235056411288166,1592,-20767.841749950763,20.0
27,1272,1,3,142.88691498979952,141.86448553923768,1.4186448553923767,1592,-21119.92508328389,20.0
28,1320,1,2,91.19789628071564,165.6925856596224,1.6569258565962242,1592,-21369.925083283746,20.0
29,1368,1,1,52.14344884339758,191.9714637448579,1.9197146374485792,1594,-21503.258416617,20.0
30,1416,2,1,56.25000000000007,110.19459144885454,2.203891828977091,1587,-21603.258416616944,20.0
31,1464,2,1,64.58333333333341,133.71024341347606,2.674204868269521,1587,-21699.09174995022,20.0
32,1512,2,1,72.91666666666673,156.74409098484026,3.134881819696805,1585,-21794.9250832835,20.0
33,1560,2,1,81.25000000000004,191.50333037261424,3.830066607452285,1587,-21890.758416616776,20.0
34,1608,4,1,89.58333333333336,116.39288152525691,4.655715261010276,1570,-21986.591749950054,20.0
35,1656,4,1,97.91666666666667,141.02817098992588,5.641126839597035,1569,-22082.42508328333,20.0
36,1704,4,1,-2.083333333333283,169.29175095780045,6.771670038312018,1571,-22182.425083283273,20.0
37,1752,6,1,6.2500000000000515,132.68752827696062,7.961251696617637,1555,-22278.25841661655,20.0
38,1800,8,1,14.583333333333387,117.76974640902576,9.42157971272206,1550,-22374.09174994983,20.0
39,1848,8,1,22.916666666666718,142.05286466951532,11.364229173561226,1553,-22469.925083283106,100.0
40,1896,9,1,31.250000000000046,147.73218572027042,13.29589671482434,1537,-22565.758416616383,20.0
41,1944,12,1,39.583333333333385,133.05323504015647,15.966388204818777,1520,-22661.59174994966,20.0
42,1992,16,1,47.91666666666673,119.99484432279972,19.199175091647955,1503,-22757.42508328294,20.0
43,2040,16,1,56.25000000000007,142.81613587709174,22.85058174033468,1507,-22853.258416616216,20.0
44,2088,18,1,64.58333333333341,151.88950928856468,27.340111671941642,1485,-22949.091749949494,20.0
45,2136,24,1,72.91666666666673,135.95217691327233,32.62852245918536,1445,-23044.92508328277,20.0
46,2184,30,1,81.25000000000004,129.98614539473715,38.99584361842115,1422,-23140.75841661605,20.0
47,2232,32,1,89.58333333333336,145.11207083098847,46.43586266591631,1410,-23236.591749949326,20.0
48,2280,38,1,97.91666666666667,145.6884872924836,55.361625171143764,1382,-23332.425083282604,20.0
49,2328,47,1,-2.083333333333283,141.25016318294746,66.3875766959853,1325,-23432.425083282546,100.0
50,2376,59,1,26.25000000000004,134.46083696563682,79.33189380972573,1292,-23508.258416615823,20.0
51,2424,66,1,89.58333333333336,142.08799364413773,93.77807580513091,1256,-23548.258416615765,20.0
52,2472,79,1,97.91666666666667,141.9828426467062,112.16644569089789,1222,-23644.091749949042,200.0
