,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,270,127,184.53083989501306,86.07407407407408,232.4,762,10735.416666666237,100.0
2,72,204,137,243.59643612141537,93.20279586220994,190.13370355890828,924,19151.878415303425,81.9672131147541
3,120,164,140,313.1871399828544,96.09542954550581,157.59650445462952,968,28128.52382999096,151.07423238065618
4,168,132,150,376.64516156298305,94.20239611843309,124.34716287633168,1026,38122.33617174999,118.55199003771567
5,216,102,132,458.54382441307916,92.01014384398688,93.85034672086663,1118,41565.759790008015,100.78217331770743
6,264,85,116,514.26028403324,92.68943609032146,78.78602067677325,1196,40642.04272021858,131.45910094438798
7,312,73,116,523.2779088300621,89.62312635143067,65.42488223654439,1229,41377.73570662741,151.14905143106532
8,360,57,114,529.9741127677653,87.37311178435536,49.802673717082556,1285,40779.35572665818,103.45315542227065
9,408,45,109,524.1558938632372,83.58057952207807,37.61126078493513,1337,37478.33035016133,127.37245938128747
10,456,35,104,495.2729806841208,87.31233966357888,30.55931888225261,1390,31839.69245263391,113.29625631817738
11,504,26,95,484.682899564446,94.94794459036449,24.68646559349477,1445,26462.748345962915,159.2784682185281
12,552,22,88,468.9763350495771,101.9529598937987,22.429651176635716,1462,21666.38826240085,184.07085640411808
13,600,17,84,434.65523932191854,95.65705503634723,16.26169935617903,1486,16894.723068399944,77.74505979057035
14,648,17,75,404.00977346638535,81.71293933614298,13.891199687144306,1489,10653.434683980264,97.28040641735187
15,696,12,63,385.4504623118293,104.2306555246192,12.507678662954305,1526,4595.890720780607,193.6520023569292
16,744,13,53,385.69781995676226,95.11065233031013,12.364384802940318,1519,723.7879567815249,209.96569970767405
17,792,12,46,361.6465366626291,110.71599024273932,13.285918829128718,1521,-3102.8010710962108,72.97037665624129
18,840,13,39,325.6080999550531,111.50376780249282,14.495489814324067,1524,-7064.066384497892,128.21059995212002
19,888,13,30,337.6018922025326,110.95519953295951,14.424175939284737,1509,-9661.646698609362,144.06667315385204
20,936,13,24,336.6122140381375,119.1278114258317,15.48661548535812,1520,-11729.446679148567,62.5
21,984,15,21,300.0001732688171,118.07156345360913,17.71073451804137,1503,-13516.946679149232,250.0
22,1032,18,15,326.62174106851955,112.69356322048374,20.284841379687073,1484,-14937.780012483066,100.0
23,1080,20,13,289.65082851398915,120.2419883423208,24.04839766846416,1476,-16079.446679150124,100.0
24,1128,23,9,319.5060883859013,123.23430662467511,28.343890523675277,1460,-16981.530012483152,57.142857142857146
25,1176,25,9,287.5105309145097,132.4319438887492,33.1079859721873,1461,-17476.470488673174,233.33333333333334
26,1224,30,7,248.82306355675124,131.57891026518246,39.473673079554736,1411,-18330.637155339344,150.0
27,1272,35,5,278.7822182992692,131.96119728963563,46.18641905137247,1391,-18684.803822005688,100.0
28,1320,41,5,206.78221829926935,133.52527090129968,54.74536106953286,1374,-19044.803822005397,40.0
29,1368,47,13,125.68546857664205,136.6958159455473,64.24703349440723,1343,-19244.803822004997,166.66666666666666
30,1416,56,6,158.74970940729597,134.98677025058356,75.5925913403268,1316,-19954.899975850523,23.076923076923077
31,1464,63,17,150.64306030433045,140.05474648166268,88.23449028344749,1267,-19550.412796362987,162.5
32,1512,77,17,129.23420641184083,128.96974616895113,99.30670455009236,1234,-20223.26225872754,25.806451612903224
33,1560,88,13,205.81084765912217,130.0194385838731,114.41710595380833,1184,-20278.976941708075,106.89655172413794
34,1608,101,25,165.91326639850698,125.34032608348086,126.59372934431568,1090,-20006.68630131283,69.04761904761905
35,1656,112,21,198.9752162611179,126.13806588690588,141.27463379333457,1069,-20096.574134076443,65.89876068154624
36,1704,127,28,207.54663590715808,123.74553191853319,157.15682553653716,1030,-19269.504632564807,100.61459185435758
37,1752,141,38,211.55524678883228,119.95092956243076,169.1308106830274,963,-18352.59801359185,67.57292260508947
38,1800,151,46,231.7258579808797,115.64063121282193,174.6173531313611,986,-17051.93142782844,65.2358732129549
39,1848,161,46,286.6723615816263,109.73896731843759,176.67973738268452,935,-14937.288797344885,76.3442357184479
40,1896,168,57,330.2702666139349,106.6822162699123,179.22612333345268,939,-10605.801330721619,108.12995613065564
41,1944,163,76,340.41961493403346,100.90393568056982,164.4734151593288,932,-5667.649126062573,65.53642086358127
42,1992,158,79,396.35013980113666,92.91031707196792,146.79830097370933,940,-1358.1388975859406,92.52716390640961
43,2040,131,92,404.72099932225143,96.90618040938422,126.94709633629333,1007,2747.511012558996,93.11068921036787
44,2088,118,99,432.9797135549331,90.61330090060041,106.92369506270849,1048,6846.355000794177,113.20420381507074
45,2136,101,98,465.82420519577687,85.97454472306937,86.83429017030006,1134,8902.615570059537,97.31427413359977
46,2184,88,91,499.67129130820854,89.824292862105,79.0453777186524,1175,8427.287548279299,146.6714603174906
47,2232,72,91,540.4720620972572,92.13919383079606,66.34021955817317,1231,11101.960909756828,127.20662423860371
48,2280,64,80,579.3113986485394,98.00415493071638,62.722659155658484,1265,8221.239492024033,107.8439573634003
49,2328,60,79,590.839529858015,89.93428110675204,53.96056866405122,1286,8034.604860633057,126.19521413073241
