,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,281,113,169.59808259587027,86.90836298932385,244.2125,748,7864.583333333644,100.0
2,72,209,142,242.48368278930855,94.34579581190165,197.18271324687444,887,20128.516289418698,83.73675258406385
3,120,171,145,316.4946732006679,93.72767868534027,160.27433055193185,959,30141.727614108422,137.5186038759142
4,168,130,142,373.3104957667822,105.12321083343406,136.66017408346428,1043,35593.357495140335,123.056080421736
5,216,107,132,440.2431216463265,107.31188738582544,114.82371950283323,1147,39925.829097355236,127.25177131564779
6,264,92,120,498.72892661961595,108.57571141701484,99.88965450365366,1182,41093.340103085706,117.07784734480937
7,312,85,118,512.602338256213,99.38511093176513,84.47734429200037,1191,41311.20560284766,110.60578004764618
8,360,71,112,542.1177683321968,91.60558321501144,65.03996408265812,1217,41104.541318391784,112.96926759682668
9,408,61,107,563.0021002395953,82.62412024182218,50.40071334751153,1296,40507.43851367393,112.06910543114739
10,456,50,104,548.4738218115123,76.99994111557724,38.49997055778862,1331,37296.38807942155,114.81551627120572
11,504,40,97,543.9330144265117,77.97505531548329,31.190022126193316,1359,32995.98843996291,139.72422205598747
12,552,29,89,547.4739042459083,87.3182504591759,25.32229263316101,1433,28935.11778889844,141.47421026342698
13,600,23,85,510.88759140704815,87.38184619240265,20.09782462425261,1452,23625.388094025617,125.72606961775861
14,648,21,82,462.88598147906924,82.22126551240062,17.26646575760413,1467,18148.23648150546,123.11346847330596
15,696,19,73,436.9814255445995,84.75141256272975,16.102768386918655,1489,12061.945115097516,158.37077075987008
16,744,14,63,423.44471042447975,110.96207982197295,15.534691175076214,1512,6808.570197413511,139.684093641884
17,792,13,53,413.98445038159736,127.86275889395905,16.622158656214676,1523,2041.7699030588108,112.28752358962211
18,840,16,43,418.552087596369,107.78048662029359,17.244877859246973,1509,-1933.7492697980472,187.94415922169503
19,888,16,36,425.1333642282012,112.70378869897917,18.032606191836667,1490,-4648.1951403563635,61.111111111111114
20,936,15,31,402.4725382145569,131.53505316585992,19.730257974878988,1507,-7490.238869089605,128.97813563314145
21,984,19,27,368.32579809901836,119.29853304062453,22.66672127771866,1497,-10035.391522699176,165.45254409108475
22,1032,21,19,478.7524941917302,121.51544946922807,25.518244388537898,1480,-11012.474856033157,250.0
23,1080,23,18,415.54394329924816,127.36815211327959,29.294674986054307,1470,-12633.147932956785,23.076923076923077
24,1128,26,17,380.5129197171382,126.69430059688884,32.9405181551911,1449,-13647.250497059847,108.33333333333333
25,1176,28,14,383.97724156991256,133.90201307708625,37.49256366158415,1426,-14749.750497060308,80.0
26,1224,31,13,341.22212915240465,138.33666111139863,42.88436494453357,1398,-15693.083830394022,125.0
27,1272,36,18,272.11441135112085,137.51594218874519,49.505739187948265,1385,-15833.262401823,171.42857142857142
28,1320,42,13,319.4255613889904,134.1669379003807,56.3501139181599,1370,-16701.714782775587,38.888888888888886
29,1368,47,11,339.4060583173839,139.80362005811122,65.70770142731227,1338,-17127.724883785017,163.63636363636363
30,1416,58,11,327.7345601628403,129.89999755242,75.3419985804036,1267,-17463.286381110553,64.70588235294117
31,1464,69,13,294.2712690938886,125.28341910084424,86.44555917958253,1252,-17547.006711347294,89.47368421052632
32,1512,75,13,260.55295842933003,133.28902704700826,99.96677028525619,1228,-18193.61977177531,70.37037037037037
33,1560,85,14,259.71075263399877,135.4737660041556,115.15270110353228,1158,-18357.35769447996,117.3913043478261
34,1608,103,18,254.9681771185173,127.79764782961682,131.63157726450532,1101,-18115.663573126138,79.3505715555818
35,1656,117,19,274.19584592938617,125.06069877042283,146.3210175613947,1051,-17802.97838425228,50.85140081784835
36,1704,129,18,289.70910312843824,128.74795824929888,166.08486614159557,1001,-17905.2336282243,84.40903982586927
