,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,273,113,188.47713864306783,86.44688644688645,236.0,748,9997.916666666473,100.0
2,72,203,139,276.24590989176977,86.91482026309313,176.43708513407907,843,24266.225144730328,80.54366977095394
3,120,153,147,332.3576991142402,87.79423204390841,134.32517502717988,1007,32782.252442679164,119.64088419877068
4,168,114,145,408.8541754494024,84.36513275345436,96.17625133893796,1093,41665.3675760354,127.56374125427061
5,216,75,137,470.131328234851,87.18537773767541,65.38903330325655,1213,45926.44667041722,130.67567021934445
6,264,55,127,518.8073339681616,82.57592707048599,45.416759888767295,1273,46957.330997120735,148.59204006102556
7,312,36,116,550.9676466235109,82.4989073737306,29.699606654543018,1399,44944.903964880614,126.0616541818499
8,360,32,109,543.8204906900589,63.84165699741235,20.429330239171954,1405,40285.52486855711,148.14074996938055
9,408,18,102,517.6002974493214,81.28465224466574,14.631237404039833,1483,33781.273824751916,171.78943043421748
10,456,17,90,507.0453633662106,74.35791170892995,12.640844990518092,1502,26583.976221860168,153.89424534273167
11,504,11,84,480.00205605516055,68.33170794466554,7.516487873913209,1515,21250.89009667635,138.21732747128718
12,552,7,79,421.8636063629668,82.43648015206102,5.770553610644272,1554,14241.511598964587,86.86673666214756
13,600,7,71,375.9450006436606,83.04336297352928,5.8130354081470506,1553,7582.545002291597,250.0
14,648,6,57,359.81129185169107,93.32198265612014,5.599318959367208,1558,1357.3728055322777,76.99723495348773
15,696,5,42,381.78714214940845,108.7150510754552,5.43575255377276,1562,-3161.8699434672762,106.21887144986721
16,744,4,32,383.1931555652169,157.2126012875765,6.28850405150306,1576,-6966.036610133593,156.28872831600964
17,792,6,25,389.585901758289,116.89595053855486,7.013757032313292,1564,-9509.786610133871,250.0
18,840,6,18,434.44653309950365,134.60319676626693,8.076191805976016,1564,-11451.453276801176,20.0
19,888,6,16,380.2460326700952,157.1653397144893,9.429920382869359,1562,-13193.11994346835,250.0
20,936,9,13,359.03172753474985,122.97041505071977,11.06733735456478,1550,-14618.119943468793,100.0
21,984,10,11,339.59478722181404,119.73313229540301,11.973313229540302,1541,-15555.619943469139,25.0
22,1032,10,9,323.5695997511414,135.4230827141835,13.54230827141835,1545,-16384.786610136056,66.66666666666667
23,1080,11,8,295.97992802935147,133.45769314179066,14.680346245596972,1520,-16931.909148902098,66.93137596670655
24,1128,14,5,343.8463374618478,123.01121393519189,17.221569950926863,1519,-17590.242482235048,179.28811154232235
25,1176,16,4,315.641473921842,129.3881515357766,20.702104245724254,1501,-18050.659148901446,250.0
26,1224,18,10,145.00658956873696,134.68466841919954,24.24324031545592,1492,-18463.15914890106,100.0
27,1272,20,5,172.09651247080757,142.25890191519107,28.451780383038212,1485,-19073.575815567256,20.0
28,1320,26,9,158.45394056949095,126.41228925483232,32.867195206256405,1450,-19218.99248223358,200.0
29,1368,29,4,288.29219961468783,132.45166151899375,38.410981840508185,1418,-19616.909148899784,30.0
30,1416,34,14,158.6191998899108,131.5481764931002,44.726380007654065,1398,-19653.57581556612,250.0
31,1464,39,9,210.3057924213429,130.81105256540258,51.01631050050701,1395,-20314.825815565273,26.666666666666668
32,1512,45,6,195.6670219653477,134.97934051801744,60.740703233107844,1363,-21044.40914889817,250.0
33,1560,53,18,159.96178412209352,134.0987722105852,71.07234927161015,1316,-20642.32581556434,200.0
34,1608,64,6,368.7742412551693,129.77275526080413,83.05456336691465,1260,-21355.659148896782,20.0
35,1656,74,21,193.32041813639754,132.2438813733076,97.86047221624762,1222,-21112.742482229663,250.0
