,time,Fish schools,Fishermen,Average wallet,Average school size,Total fish,Available food,Cumulative gain,Fish price
0,0,300,100,100.0,100.0,300.0,1600,0.0,100.0
1,24,275,126,178.7367724867725,85.21818181818182,234.35,729,9920.833333333076,100.0
2,72,203,141,269.617533945129,86.01079676434894,174.60191743162835,856,22847.088136411203,76.84918347742556
3,120,156,143,336.81969458017505,87.21173283292538,136.0503032193636,975,31445.763875409448,138.7611145332735
4,168,121,137,438.08664613416306,84.83568287841709,102.65117628288468,1050,41422.691605873275,128.1376572949066
5,216,88,128,507.0031664097027,80.74839193075171,71.05858489906151,1150,45441.22459961653,110.55416504610393
6,264,65,118,565.4272058811026,78.24889753002303,50.86178339451497,1298,46710.74282258175,146.22879760645293
7,312,47,110,601.6992454624692,74.7554434597962,35.135058426104216,1335,45837.99531812923,140.14088664960906
8,360,35,100,633.7657430134351,67.62395469555831,23.66838414344541,1406,42992.160891001346,146.30443980595166
9,408,28,92,638.8609535958363,53.585515358897794,15.003944300491384,1440,38466.56670124103,102.51394282630288
10,456,16,83,640.3499222677341,66.70949323112197,10.673518916979516,1490,32809.2936677469,198.7596186587907
11,504,11,75,618.9084098453275,83.18043539446796,9.149847893391476,1532,26052.954321694688,158.72044949179678
12,552,9,74,560.0252394417743,67.30562595891035,6.057506336301932,1546,21072.6856001584,147.95608874260884
13,600,7,70,508.04610291759445,60.275320060928166,4.219272404264972,1554,15181.87717742503,102.540744480657
14,648,4,63,471.53021740273294,81.1197142873372,3.2447885714934883,1573,9301.185379405255,211.6866821180655
15,696,4,53,462.3406787296977,85.79853633850614,3.4319414535402455,1573,4063.8558252025896,131.74188183951435
16,744,4,44,453.4142405119812,85.80441583455016,3.4321766333820065,1567,-515.3108414641965,250.0
17,792,3,30,558.9050243745048,97.0428166648952,2.9112844999468557,1579,-3740.310841464294,37.5
18,840,3,25,563.236218397024,117.21394857049332,3.5164184571147996,1582,-6444.477508130644,250.0
19,888,3,19,622.4907057781071,127.19381458922602,3.815814437676781,1578,-8716.977508130545,20.0
20,936,3,18,552.4007938776405,146.88071601686008,4.406421480505802,1579,-10604.477508131095,20.0
21,984,3,17,487.9505200298668,135.44989024636251,4.063496707390875,1579,-12256.144174798283,50.0
22,1032,3,13,525.6222851028749,150.26091420630948,4.507827426189285,1575,-13731.144174798726,80.0
23,1080,4,10,563.5651117621744,138.00202213519304,5.5200808854077215,1576,-14937.394174799078,20.0
24,1128,5,9,518.8560266009349,132.34185067719974,6.617092533859988,1564,-15906.14417479936,20.0
25,1176,5,6,647.6809676895417,156.87385213229024,7.843692606614512,1569,-16699.894174799316,20.0
26,1224,6,6,551.0143010228759,156.21619854027767,9.372971912416661,1571,-17279.894174798967,100.0
27,1272,8,4,699.8513948507192,139.7288363287597,11.178306906300778,1560,-17794.477508132,20.0
28,1320,10,3,811.9144253447388,129.14665298335166,12.914665298335168,1533,-18161.977508131775,20.0
29,1368,10,3,711.9144253447381,151.89481796092426,15.189481796092425,1535,-18461.9775081316,200.0
30,1416,12,3,611.914425344737,151.08065303579846,18.129678364295813,1526,-18761.977508131426,100.0
31,1464,16,4,418.83165234188516,133.660720346876,21.38571525550016,1496,-19022.394174797882,50.0
32,1512,19,2,682.0927376733675,133.95157474053494,25.450799200701642,1481,-19341.144174797697,20.0
33,1560,23,2,592.0927376733657,130.8743084182055,30.101090936187262,1461,-19521.14417479758,20.0
34,1608,24,2,522.0927376733642,146.21900054793312,35.09256013150395,1446,-19661.144174797464,20.0
35,1656,33,2,422.09273767336447,127.95799441685261,42.226138157561365,1408,-19861.144174797348,166.66666666666666
36,1704,36,2,332.0927376733654,139.53975576862842,50.23431207670623,1408,-20041.14417479723,20.0
37,1752,42,2,242.09273767336612,142.02195457113226,59.64922091987555,1374,-20221.144174797115,20.0
38,1800,51,2,152.09273767336566,139.86735713835589,71.3323521405615,1314,-20401.144174797,20.0
39,1848,65,2,62.092737673365704,130.5719856099456,84.87179064646465,1259,-20581.144174796882,20.0
40,1896,73,1,-1.4094115950667256,138.7329195400049,101.27503126420358,1228,-20709.060841463463,100.0
41,1944,83,7,78.86904761904768,145.59449287795442,120.84342908870218,1174,-20859.06084146323,150.0
42,1992,98,16,105.00000000000004,140.72908600324018,137.91450428317538,1124,-20839.477508129105,20.0
43,2040,116,13,127.81410256410278,133.83371269875113,155.2471067305513,1063,-21178.560841461607,46.0
44,2088,141,24,184.01053639846756,123.24427310401246,173.77442507665756,1023,-19834.7246345642,86.20689655172414
45,2136,150,32,193.35503359658904,125.38261592779864,188.07392389169797,963,-19176.116433034746,50.690179285466634
46,2184,161,42,222.18442744433418,125.89309999398458,202.68789099031517,947,-17240.06488879507,96.37291758825641
47,2232,179,57,253.16530966383422,115.7245208435968,207.14689231003828,923,-14055.194089543733,73.28821509490733
48,2280,190,60,307.6386080120209,106.5144878426044,202.37752690094837,864,-10847.456209187418,59.9750870672189
49,2328,185,78,341.27248605873683,103.01951580780806,190.5861042444449,888,-4590.685443994549,101.64773820628443
50,2376,175,100,366.7562410200164,92.56845342614456,161.994793495753,927,2958.1100066271474,69.68464938118912
51,2424,143,108,409.31713593315106,88.88688159248011,127.10824067724656,988,8962.916885334113,96.13532460582418
52,2472,112,116,447.85604067196743,81.78788513854472,91.60243135517008,1100,15387.133589165407,103.09174331952437
53,2520,89,108,521.8247844288543,72.91440700852824,64.89382223759014,1166,19345.224356787257,129.23302868159251
54,2568,68,106,525.7464206014034,74.39859216848453,50.59104267456948,1250,18298.02974772287,130.6990643030123
55,2616,50,101,559.003390085828,75.72921801680474,37.86460900840237,1294,19008.558953504842,168.41777992589746
56,2664,39,99,538.8947131291441,73.7527787714074,28.76358372084889,1368,15686.439490247752,110.0876591048688
57,2712,31,92,530.8127917127214,62.1318644073513,19.260877966278905,1429,11148.865834817509,131.48440393828187
58,2760,23,85,518.5454332477944,57.62985034129751,13.254865578498427,1452,6511.285130489807,142.20417493358636
59,2808,14,77,497.7477097471077,60.34036944748961,8.447651722648546,1512,738.2169797428512,104.33085004558446
60,2856,12,70,469.2222250347064,55.177654382864766,6.621318525943772,1513,-4765.292953407938,250.0
61,2904,9,60,446.731140281698,67.6401973472821,6.087617761255388,1544,-10835.960506745332,84.45788999807486
62,2952,8,53,413.6258182388713,71.68280801633038,5.734624641306431,1543,-15739.098609862529,218.34315007388352
63,3000,7,44,395.92941054001585,91.44811815236889,6.401368270665822,1548,-20266.50849117648,143.79015097166405
64,3048,7,35,400.6012124675184,102.44862459721011,7.171403721804708,1553,-23692.803482879088,147.24909532840869
65,3096,7,30,367.0901549574301,109.10747332570959,7.6375231327996715,1556,-26719.138625553675,92.17863233714323
66,3144,6,24,361.7727235796579,141.43910191979896,8.486346115187937,1560,-29067.60272854072,108.60069780937421
67,3192,10,22,299.71195889336775,97.61193127675423,9.761193127675424,1533,-31162.40162942781,230.20109911155697
68,3240,9,16,323.5206822798346,124.47300057400035,11.202570051660032,1543,-32597.832764536928,50.0
69,3288,9,14,265.68892687210644,143.97241409520393,12.957517268568354,1552,-34062.41609787167,250.0
70,3336,11,9,359.13376740404493,133.8083707899752,14.718920786897275,1536,-34564.49943120634,50.0
71,3384,14,8,308.867495715689,121.05149874046822,16.947209823665553,1511,-35329.08276454066,33.333333333333336
72,3432,15,7,253.80584188288964,133.87741322073214,20.08161198310982,1508,-36026.999431208176,120.0
73,3480,18,3,442.3279750599142,134.1542959671483,24.147773274086695,1500,-36489.499431208715,250.0
74,3528,22,2,562.3690697794568,132.24759914595822,29.09447181211081,1459,-36695.749431208955,100.0
75,3576,26,2,462.36906977945637,134.2105350314476,34.894739108176374,1460,-36895.74943120919,20.0
76,3624,29,2,362.3690697794573,145.66249763719628,42.24212431478693,1443,-37095.74943120942,20.0
77,3672,33,2,272.36906977945796,152.57029980430048,50.34819893541916,1412,-37275.74943120965,20.0
78,3720,47,2,212.36906977945785,124.83326840716492,58.671636151367515,1350,-37395.749431209886,20.0
79,3768,55,4,117.58334441353827,126.24492950669242,69.43471122868083,1333,-37550.15419311493,71.42857142857143
80,3816,61,6,93.83201796881377,133.79337055364135,81.61395603772122,1277,-37761.66212962353,77.77777777777777
81,3864,66,7,156.07815360672024,146.4654037698479,96.66716648809962,1251,-37748.76530422738,128.57142857142858
82,3912,89,4,162.19926881176045,128.75161258356184,114.58893519937003,1174,-38205.01530422811,58.333333333333336
83,3960,106,8,131.24844392968967,128.7151684959954,136.43807860575515,1079,-38307.99149470482,171.42857142857142
84,4008,116,15,144.26504311170768,135.1054656177649,156.72234011660728,1056,-38102.336732801516,33.333333333333336
85,4056,129,10,178.47097736597468,139.9416379324124,180.524712932812,1021,-38605.11451058066,38.888888888888886
86,4104,155,22,200.66231294413,133.84474991487204,207.45936236805167,966,-37381.503399471025,168.75
87,4152,176,35,222.98372842217012,128.54332208059952,226.2362468618552,941,-35499.97712280311,39.59007178874221
88,4200,197,31,255.57896660993882,125.32148988674393,246.88333507688557,889,-35502.26603218636,51.892149848032766
89,4248,217,50,282.81907837545197,122.649196327655,266.1487560310114,823,-31338.60445156546,113.91657161680192
90,4296,228,80,290.3584050283328,112.49673120765145,256.4925471534453,832,-25355.052634734395,52.68572305665206
91,4344,221,86,328.61500400469106,109.78010548402341,242.61403311969175,808,-21961.277618473243,66.47400052880566
92,4392,212,101,376.68068441303217,102.21805954245428,216.7022862300031,839,-14091.675944930514,91.10063320962081
93,4440,180,123,426.31148167822744,94.33685935079723,169.806346831435,903,-2316.779490891975,90.20897426297522
94,4488,148,133,468.40901442838145,87.34504079405784,129.2706603752056,991,6020.829208161792,99.57076008138473
95,4536,113,138,513.0718831330823,77.22344433653527,87.26249210028486,1085,12676.709685149619,104.70990783361037
96,4584,86,129,597.9834987192702,62.16113821658947,53.45857886626695,1146,18048.01896133402,134.71019517479095
97,4632,42,119,643.8703825625629,70.96858390959595,29.8068052420303,1360,17280.8967316286,118.75384917983065
98,4680,30,111,667.8387730479745,62.983440493707576,18.895032148112275,1423,14352.678647624803,224.7009147605943
99,4728,18,104,679.2581112138904,52.64390715018627,9.47590328703353,1479,10838.447701005938,158.55918433916264
